threshold,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,alert_rate,false_alerts_per_10k,missed_frauds_per_10k,expected_cost,expected_cost_per_10k,dataset,time_col,train_rows,validation_rows,test_rows,train_fraud_rate_pct,validation_fraud_rate_pct,test_fraud_rate_pct,train_time_s
0.66,0.9995594403129736,0.8888888888888888,0.7567567567567568,0.8175182481751825,0.819952807188822,0.9724789018267279,0.7847378592248723,56665,7,18,56,0.0011102104113065237,1.2335671236739154,3.172029746590068,1807.0,318.4365417826807,D1_Kaggle_CC,Time,181584,45396,56746,0.1910961318177813,0.11454753722794961,0.1304056673598139,6.416455300000052
0.15,0.9879,0.1927437641723356,0.9239130434782609,0.31894934333958724,0.41900863817129347,0.9949074807671061,0.6720702137009477,59104,712,14,170,0.0147,118.66666666666666,2.3333333333333335,2112.0,352.0,D2_Online_Fraud,unix_time,192000,48000,60000,0.8583333333333334,0.6520833333333333,0.3066666666666667,12.27798317099996
0.13,0.992925,0.7339622641509433,0.9987163029525032,0.8461120174007613,0.8530635430348487,0.999644717588777,0.9861085989022003,38939,282,1,778,0.0265,70.5,0.25,382.0,95.5,D3_PaySim,step,128000,32000,40000,2.46015625,1.7781249999999997,1.9475,2.4398631290000594
