batch_size,latency_mean_us,latency_median_us,latency_p95_us,latency_std_us,dataset,model,model_display
4096,0.11735841064453023,0.11729699705975705,0.12084578858984063,0.002191527892851465,D1_Kaggle_CC,LR_balanced,LogReg balanced
4096,15.81610410400502,16.07977539064276,16.25879577638878,0.7974191717137786,D1_Kaggle_CC,RF,Random Forest
4096,16.020391127928857,16.03706152342177,16.276392211897473,6.264065694978041,D1_Kaggle_CC,BRF,Balanced RF
4096,30.91971627440793,29.20226196287401,35.36166704105614,2.6914279128350844,D1_Kaggle_CC,EasyEnsemble,EasyEnsemble
4096,1.1750491845707867,1.0962171630990447,1.1298668334852602,0.5359235273749977,D1_Kaggle_CC,XGB,XGBoost
4096,1.1322136914104775,1.128602539063328,1.1549288452233908,0.014686374596085572,D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight
4096,1.1931119458025163,1.0873497314489722,1.3434352051061582,0.4619746292653554,D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE
4096,1.0859306884802855,1.0834432373207914,1.0911960327292247,0.014037524578170125,D1_Kaggle_CC,XGB_ADASYN,XGBoost + ADASYN
4096,4.396833227540141,4.021512695295826,6.485531457492422,0.8385681684441691,D1_Kaggle_CC,LightGBM,LightGBM balanced
4096,0.593858591306784,0.609210571295149,0.650878796390475,0.04901272827764565,D1_Kaggle_CC,CatBoost,CatBoost balanced
4096,0.21563915771571907,0.21288415530396065,0.22843200684630194,0.008322341726735084,D1_Kaggle_CC,MLP_Focal,MLP + Focal Loss
4096,0.2171546899409904,0.21632678223748592,0.2264373412913523,0.005122014371148662,D1_Kaggle_CC,MLP_Focal_SMOTE,MLP + Focal + SMOTE
4096,0.08693071777532424,0.08675158691406892,0.09026110837362378,0.0022762049243411006,D2_Online_Fraud,LR_balanced,LogReg balanced
4096,16.18015353515578,16.157018066398354,16.44263093263931,0.27009976461423674,D2_Online_Fraud,RF,Random Forest
4096,16.15494593994571,16.118959838856696,16.388706921341424,0.15453156963923687,D2_Online_Fraud,BRF,Balanced RF
4096,29.733211809080395,28.706211425783003,35.133854357893846,2.638117234115057,D2_Online_Fraud,EasyEnsemble,EasyEnsemble
4096,1.716355732420682,1.6228972167797728,1.8893402465969267,0.4877779352655641,D2_Online_Fraud,XGB,XGBoost
4096,1.7760059936539063,1.6771710205087942,1.7825466674920016,0.5821937195908109,D2_Online_Fraud,XGB_spw,XGBoost scale_pos_weight
4096,3.6256268310552735,2.7863151855489487,6.128139477498683,1.8472166938456243,D2_Online_Fraud,XGB_SMOTE,XGBoost + SMOTE
4096,1.4883505810564526,1.486343261691836,1.4956491211276512,0.012804657730444273,D2_Online_Fraud,XGB_ADASYN,XGBoost + ADASYN
4096,8.2367278930634,7.999258911123297,9.951490051246514,0.7575835506290782,D2_Online_Fraud,LightGBM,LightGBM balanced
4096,1.0370188574182482,1.010842651361088,1.1512613525499482,0.06462082423023188,D2_Online_Fraud,CatBoost,CatBoost balanced
4096,1.494129663088817,1.4895754394395055,1.55213112792707,0.02658032591517067,D2_Online_Fraud,MLP_Focal,MLP + Focal Loss
4096,1.567302988279007,1.5594562988163752,1.6832963135204881,0.06833230609890979,D2_Online_Fraud,MLP_Focal_SMOTE,MLP + Focal + SMOTE
4096,0.06956765380761176,0.06860961915267083,0.07562379150949372,0.004287423500262851,D3_PaySim,LR_balanced,LogReg balanced
4096,16.018157021481798,16.030637451175387,16.217930517559154,0.2702869275064043,D3_PaySim,RF,Random Forest
4096,15.650016689452984,16.005059082030428,16.177046472204413,0.8865839409124107,D3_PaySim,BRF,Balanced RF
4096,27.890988498537325,26.648327026368435,34.20062346186914,2.6569503943049075,D3_PaySim,EasyEnsemble,EasyEnsemble
4096,1.355016267088893,1.0444355469096944,4.434361523403261,1.0092965608457412,D3_PaySim,XGB,XGBoost
4096,1.1371370703128214,1.0451699218871902,1.2095914062343334,0.5209186466596901,D3_PaySim,XGB_spw,XGBoost scale_pos_weight
4096,1.0560455834979219,1.0411611328087211,1.0747999877630532,0.08041754830668514,D3_PaySim,XGB_SMOTE,XGBoost + SMOTE
4096,1.0541985180700932,1.0353059081980032,1.1142764282129347,0.10584528668992661,D3_PaySim,XGB_ADASYN,XGBoost + ADASYN
4096,5.129211193846683,4.760573120099476,7.550645910628372,0.964908149623753,D3_PaySim,LightGBM,LightGBM balanced
4096,0.4580695947270507,0.4474466552550904,0.5105375366049048,0.04301080143371078,D3_PaySim,CatBoost,CatBoost balanced
4096,0.17492885498515687,0.1735128173918632,0.18650491946381464,0.00614406581298059,D3_PaySim,MLP_Focal,MLP + Focal Loss
4096,0.17884869628614908,0.17681494138277465,0.18782700197950142,0.012799612616187736,D3_PaySim,MLP_Focal_SMOTE,MLP + Focal + SMOTE
