dataset,model,model_display,threshold,metric,estimate,ci_low,ci_high,bootstrap_rounds_used
D1_Kaggle_CC,EasyEnsemble,EasyEnsemble,0.62,expected_cost_per_10k,334.82536214006274,184.24646671131006,460.93557255136926,300
D1_Kaggle_CC,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.53,recall,0.7894736842105263,0.711629213483146,0.872982391782832,300
D1_Kaggle_CC,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.53,precision,0.646551724137931,0.5620502645502645,0.721108385370205,300
D1_Kaggle_CC,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.53,mcc,0.7139251225075234,0.6454713317839235,0.7766799783334446,300
D1_Kaggle_CC,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.53,pr_auc,0.7834272324238094,0.7057722938896184,0.8569693069265276,300
D1_Kaggle_CC,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.53,roc_auc,0.9480172691707026,0.9137532384515059,0.9828920781035786,300
D1_Kaggle_CC,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.53,expected_cost_per_10k,359.6729284883516,201.75871427060937,483.7345363549854,300
D2_Online_Fraud,XGB,XGBoost,0.03,recall,0.9417249417249417,0.920129840546697,0.9614071644637338,300
D2_Online_Fraud,XGB,XGBoost,0.03,precision,0.44938820912124583,0.41878939734607434,0.48470148995148993,300
D2_Online_Fraud,XGB,XGBoost,0.03,mcc,0.6473570065979041,0.621532540467048,0.6753208682614174,300
D2_Online_Fraud,XGB,XGBoost,0.03,pr_auc,0.9110798843713126,0.8904446281193524,0.9294236855221725,300
D2_Online_Fraud,XGB,XGBoost,0.03,roc_auc,0.9979783188727138,0.9970671529605065,0.9986932628848454,300
D2_Online_Fraud,XGB,XGBoost,0.03,expected_cost_per_10k,499.16666666666663,354.8541666666667,655.9499999999998,300
D2_Online_Fraud,XGB_spw,XGBoost scale_pos_weight,0.44,recall,0.9393939393939394,0.9170215934475056,0.9615581898543555,300
D2_Online_Fraud,XGB_spw,XGBoost scale_pos_weight,0.44,precision,0.41122448979591836,0.38123698058207195,0.44222573554447314,300
D2_Online_Fraud,XGB_spw,XGBoost scale_pos_weight,0.44,mcc,0.6179879792672124,0.5928331191391326,0.6438385596383219,300
D2_Online_Fraud,XGB_spw,XGBoost scale_pos_weight,0.44,pr_auc,0.8947749462008046,0.8727584904750649,0.9169167875650764,300
D2_Online_Fraud,XGB_spw,XGBoost scale_pos_weight,0.44,roc_auc,0.997105019615973,0.9956811915227646,0.9982025378056106,300
D2_Online_Fraud,XGB_spw,XGBoost scale_pos_weight,0.44,expected_cost_per_10k,529.5,372.075,692.3625,300
D2_Online_Fraud,XGB_SMOTE,XGBoost + SMOTE,0.07,recall,0.958041958041958,0.9393244734663846,0.9769930522845031,300
D2_Online_Fraud,XGB_SMOTE,XGBoost + SMOTE,0.07,precision,0.2367511520737327,0.21603366393529433,0.2588863473764561,300
D2_Online_Fraud,XGB_SMOTE,XGBoost + SMOTE,0.07,mcc,0.47038550873510626,0.4479553268210201,0.49327895707758174,300
D2_Online_Fraud,XGB_SMOTE,XGBoost + SMOTE,0.07,pr_auc,0.8292015143322358,0.800974529511627,0.8603817748849545,300
D2_Online_Fraud,XGB_SMOTE,XGBoost + SMOTE,0.07,roc_auc,0.9940599176888647,0.9910334158143714,0.9966854665403763,300
D2_Online_Fraud,XGB_SMOTE,XGBoost + SMOTE,0.07,expected_cost_per_10k,520.8333333333334,384.64166666666665,649.2333333333332,300
D2_Online_Fraud,XGB_ADASYN,XGBoost + ADASYN,0.1,recall,0.9533799533799534,0.9334085510688837,0.9750740160222918,300
D2_Online_Fraud,XGB_ADASYN,XGBoost + ADASYN,0.1,precision,0.20317933432687532,0.18651299059236792,0.22125567203880453,300
D2_Online_Fraud,XGB_ADASYN,XGBoost + ADASYN,0.1,mcc,0.43349370100439527,0.4144023876352368,0.4551681885522808,300
D2_Online_Fraud,XGB_ADASYN,XGBoost + ADASYN,0.1,pr_auc,0.830760741137082,0.8030400501663317,0.8614381135911409,300
D2_Online_Fraud,XGB_ADASYN,XGBoost + ADASYN,0.1,roc_auc,0.9923319254033864,0.9879070851705081,0.9961181128784108,300
D2_Online_Fraud,XGB_ADASYN,XGBoost + ADASYN,0.1,expected_cost_per_10k,600.6666666666666,441.5541666666666,738.0124999999999,300
D2_Online_Fraud,LightGBM,LightGBM balanced,0.03,recall,0.958041958041958,0.9387994682017837,0.9758759676386707,300
D2_Online_Fraud,LightGBM,LightGBM balanced,0.03,precision,0.42024539877300615,0.38852042987438523,0.45307762889284625,300
D2_Online_Fraud,LightGBM,LightGBM balanced,0.03,mcc,0.6311287776306518,0.6055654752678089,0.6581136084440331,300
D2_Online_Fraud,LightGBM,LightGBM balanced,0.03,pr_auc,0.9226575301297775,0.9035780949058123,0.9409016858324794,300
D2_Online_Fraud,LightGBM,LightGBM balanced,0.03,roc_auc,0.9981028690803582,0.9971077549401124,0.9988588736325179,300
D2_Online_Fraud,LightGBM,LightGBM balanced,0.03,expected_cost_per_10k,394.5,264.31666666666666,527.5999999999999,300
D2_Online_Fraud,CatBoost,CatBoost balanced,0.5,recall,0.9487179487179487,0.9288224840675118,0.9693187402682724,300
D2_Online_Fraud,CatBoost,CatBoost balanced,0.5,precision,0.34786324786324785,0.3188358008594552,0.3746518664581492,300
D2_Online_Fraud,CatBoost,CatBoost balanced,0.5,mcc,0.5702794028329576,0.5436938531074799,0.5937126137742265,300
D2_Online_Fraud,CatBoost,CatBoost balanced,0.5,pr_auc,0.8571049428706979,0.8295516011216232,0.8834254007382917,300
D2_Online_Fraud,CatBoost,CatBoost balanced,0.5,roc_auc,0.9963752485281419,0.9942093088266208,0.9979049227113449,300
D2_Online_Fraud,CatBoost,CatBoost balanced,0.5,expected_cost_per_10k,493.83333333333337,339.9041666666667,639.1541666666665,300
D2_Online_Fraud,BRF,Balanced RF,0.42,recall,0.9417249417249417,0.9224395194697598,0.9658140020275507,300
D2_Online_Fraud,BRF,Balanced RF,0.42,precision,0.17346500644053242,0.15771356908349357,0.19094054145813946,300
D2_Online_Fraud,BRF,Balanced RF,0.42,mcc,0.39668209593610865,0.3770167210515512,0.417345572972971,300
D2_Online_Fraud,BRF,Balanced RF,0.42,pr_auc,0.8056466551834334,0.7743535328559573,0.8404680779182434,300
D2_Online_Fraud,BRF,Balanced RF,0.42,roc_auc,0.9894631033020518,0.9848904947703518,0.993751019990121,300
D2_Online_Fraud,BRF,Balanced RF,0.42,expected_cost_per_10k,737.5,557.4791666666666,877.1208333333332,300
D2_Online_Fraud,EasyEnsemble,EasyEnsemble,0.48,recall,0.9370629370629371,0.9151217009183485,0.9611526907001045,300
D2_Online_Fraud,EasyEnsemble,EasyEnsemble,0.48,precision,0.08562300319488818,0.07761130843152007,0.09454750893420222,300
D2_Online_Fraud,EasyEnsemble,EasyEnsemble,0.48,mcc,0.27136949881236017,0.2568437642286768,0.2869578889109419,300
D2_Online_Fraud,EasyEnsemble,EasyEnsemble,0.48,pr_auc,0.5542207314280599,0.499970620110412,0.603659688056395,300
D2_Online_Fraud,EasyEnsemble,EasyEnsemble,0.48,roc_auc,0.9801355331646917,0.9738274415830521,0.9854893094761663,300
D2_Online_Fraud,EasyEnsemble,EasyEnsemble,0.48,expected_cost_per_10k,1165.5,989.9833333333333,1337.2583333333332,300
D2_Online_Fraud,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.02,recall,0.5128205128205128,0.46938504006334825,0.5592391304347826,300
D2_Online_Fraud,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.02,precision,0.08308157099697885,0.07188635772459816,0.09383376996216442,300
D2_Online_Fraud,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.02,mcc,0.19364765895889388,0.17208238136151582,0.2150317925914745,300
D2_Online_Fraud,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.02,pr_auc,0.1790337563536135,0.1452146100408109,0.22558591324272767,300
D2_Online_Fraud,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.02,roc_auc,0.8256829258491141,0.8019738280834249,0.8468050407810942,300
D2_Online_Fraud,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.02,expected_cost_per_10k,3888.0,3407.65,4392.845833333333,300
D3_PaySim,XGB,XGBoost,0.09,recall,0.9899888765294772,0.983058934483515,0.9955803492937936,300
D3_PaySim,XGB,XGBoost,0.09,precision,0.830999066293184,0.8090644917812815,0.8535179880320728,300
D3_PaySim,XGB,XGBoost,0.09,mcc,0.9047680921879029,0.8914200999667291,0.9178727176102698,300
D3_PaySim,XGB,XGBoost,0.09,pr_auc,0.988542769342702,0.9844544408401221,0.9923426878584272,300
D3_PaySim,XGB,XGBoost,0.09,roc_auc,0.9992479190040885,0.9985582061837975,0.999737657961447,300
D3_PaySim,XGB,XGBoost,0.09,expected_cost_per_10k,270.25,147.25,424.025,300
D3_PaySim,XGB_spw,XGBoost scale_pos_weight,0.41,recall,0.9888765294771968,0.9817987650362525,0.9946879817492899,300
