dataset,model,epoch,train_loss,val_loss
D1_Kaggle_CC,MLP_Focal,1,0.027692049048485212,0.0018556794384494424
D1_Kaggle_CC,MLP_Focal,2,0.0009148555668463324,0.0007176263025030494
D1_Kaggle_CC,MLP_Focal,3,0.0005620552705642715,0.0004968863213434815
D1_Kaggle_CC,MLP_Focal,4,0.00047180258581974656,0.0004425685910973698
D1_Kaggle_CC,MLP_Focal,5,0.0004278030954471402,0.0003555106231942773
D1_Kaggle_CC,MLP_Focal,6,0.0003931778920467765,0.00034542998764663935
D1_Kaggle_CC,MLP_Focal,7,0.00037225295785942714,0.00035443060914985836
D1_Kaggle_CC,MLP_Focal,8,0.0003484530382419497,0.0003261538513470441
D1_Kaggle_CC,MLP_Focal,9,0.00032854126643695546,0.0003194458258803934
D1_Kaggle_CC,MLP_Focal,10,0.00032900285155295256,0.0003265296691097319
D1_Kaggle_CC,MLP_Focal,11,0.00031298429358899696,0.00030545529443770647
D1_Kaggle_CC,MLP_Focal,12,0.00030186253321374076,0.00029885643743909895
D1_Kaggle_CC,MLP_Focal,13,0.0002914445182561006,0.00029784993967041373
D1_Kaggle_CC,MLP_Focal,14,0.00029208754576655013,0.000308281829347834
D1_Kaggle_CC,MLP_Focal,15,0.000278026964878428,0.00030896178213879466
D1_Kaggle_CC,MLP_Focal,16,0.00027628536108852456,0.0002893225464504212
D1_Kaggle_CC,MLP_Focal,17,0.00027038156463021643,0.00027662888169288635
D1_Kaggle_CC,MLP_Focal,18,0.00026830563962157406,0.0002809221623465419
D1_Kaggle_CC,MLP_Focal,19,0.0002525619574033739,0.0002727713726926595
D1_Kaggle_CC,MLP_Focal,20,0.00025377780345959845,0.0002849017910193652
D1_Kaggle_CC,MLP_Focal,21,0.0002516702788648473,0.00027730889269150794
D1_Kaggle_CC,MLP_Focal,22,0.00023688072656880373,0.00027910087374038994
D1_Kaggle_CC,MLP_Focal,23,0.00023615379835605841,0.0002782002557069063
D1_Kaggle_CC,MLP_Focal,24,0.00023934180672369437,0.0002806345000863075
D1_Kaggle_CC,MLP_Focal,25,0.00024292280734320476,0.0002864845155272633
D1_Kaggle_CC,MLP_Focal_SMOTE,1,0.01694531629406167,0.005843448918312788
D1_Kaggle_CC,MLP_Focal_SMOTE,2,0.006491495060912344,0.0036939908750355244
D1_Kaggle_CC,MLP_Focal_SMOTE,3,0.003920423534039533,0.00228781602345407
D1_Kaggle_CC,MLP_Focal_SMOTE,4,0.002759096222495388,0.0016118338098749518
D1_Kaggle_CC,MLP_Focal_SMOTE,5,0.002188801741243204,0.001479446073062718
D1_Kaggle_CC,MLP_Focal_SMOTE,6,0.0017663716044920507,0.0011550282360985875
D1_Kaggle_CC,MLP_Focal_SMOTE,7,0.0016431146719247062,0.0011800976935774088
D1_Kaggle_CC,MLP_Focal_SMOTE,8,0.0014870503892483755,0.0010532848536968231
D1_Kaggle_CC,MLP_Focal_SMOTE,9,0.001387546377372928,0.0009285539272241294
D1_Kaggle_CC,MLP_Focal_SMOTE,10,0.0019768649565704752,0.001086402335204184
D1_Kaggle_CC,MLP_Focal_SMOTE,11,0.0012893017835645634,0.0009779392275959253
D1_Kaggle_CC,MLP_Focal_SMOTE,12,0.0012224241646446204,0.00093519949587062
D1_Kaggle_CC,MLP_Focal_SMOTE,13,0.001286905796824316,0.0011485934955999255
D1_Kaggle_CC,MLP_Focal_SMOTE,14,0.001044067135113396,0.0008932454511523247
D1_Kaggle_CC,MLP_Focal_SMOTE,15,0.0007965830141636595,0.0009788043098524213
D1_Kaggle_CC,MLP_Focal_SMOTE,16,0.0006375661164945975,0.0009271435556001961
D1_Kaggle_CC,MLP_Focal_SMOTE,17,0.0006184180963194531,0.0009222043445333838
D1_Kaggle_CC,MLP_Focal_SMOTE,18,0.0006862142519944274,0.0008992417133413255
D1_Kaggle_CC,MLP_Focal_SMOTE,19,0.0007811330118314023,0.0010681765852496028
D1_Kaggle_CC,MLP_Focal_SMOTE,20,0.0007206201614658976,0.000977223040536046
D2_Online_Fraud,MLP_Focal,1,0.02299059549732966,0.0030490378849208355
D2_Online_Fraud,MLP_Focal,2,0.002646034215626485,0.011862555518746376
D2_Online_Fraud,MLP_Focal,3,0.002273105089849931,0.0033640428446233273
D2_Online_Fraud,MLP_Focal,4,0.0019874760838958653,0.023097435012459755
D2_Online_Fraud,MLP_Focal,5,0.0018033419532622111,0.0035467478446662426
D2_Online_Fraud,MLP_Focal,6,0.0015775551394054152,0.004889955278486013
D2_Online_Fraud,MLP_Focal,7,0.0015008773969268387,0.0034062161576002836
D2_Online_Fraud,MLP_Focal_SMOTE,1,0.01749744885451693,0.006604734808206558
D2_Online_Fraud,MLP_Focal_SMOTE,2,0.0036389831121124445,0.03602565452456474
D2_Online_Fraud,MLP_Focal_SMOTE,3,0.002329687013622015,0.016934210434556007
D2_Online_Fraud,MLP_Focal_SMOTE,4,0.0017536972128950497,0.008922435343265533
