dataset,model,epoch,train_loss,val_loss
D3_PaySim,MLP_Focal,16,0.002500375596037696,0.002011676784604788
D3_PaySim,MLP_Focal,17,0.00247661245521158,0.001998725114390254
D3_PaySim,MLP_Focal,18,0.002475531965804597,0.00182141934055835
D3_PaySim,MLP_Focal,19,0.0024636132450449088,0.0020147745963186026
D3_PaySim,MLP_Focal,20,0.0024283391678528417,0.001866666367277503
D3_PaySim,MLP_Focal,21,0.0022776979132599776,0.0017479266971349716
D3_PaySim,MLP_Focal,22,0.002352645134715925,0.0018088603392243385
D3_PaySim,MLP_Focal,23,0.0022543600653224284,0.0018708466086536646
D3_PaySim,MLP_Focal,24,0.0022256297839155035,0.001724260626360774
D3_PaySim,MLP_Focal,25,0.002127818831626976,0.0017073905328288674
D3_PaySim,MLP_Focal,26,0.0022292144130915403,0.001990780234336853
D3_PaySim,MLP_Focal,27,0.0020861398218022216,0.001626254990696907
D3_PaySim,MLP_Focal,28,0.002129035015102653,0.0017374356975778937
D3_PaySim,MLP_Focal,29,0.002017425405534191,0.0015447218902409077
D3_PaySim,MLP_Focal,30,0.0020841180369080533,0.0016020288458094
D3_PaySim,MLP_Focal,31,0.0020599651191058376,0.0016050577396526933
D3_PaySim,MLP_Focal,32,0.0020039451774209738,0.0019254563376307487
D3_PaySim,MLP_Focal,33,0.002082876437934973,0.0016899927286431193
D3_PaySim,MLP_Focal,34,0.002008266157529775,0.0015780531102791429
D3_PaySim,MLP_Focal,35,0.0020573276930326034,0.0016091588186100125
D3_PaySim,MLP_Focal_SMOTE,1,0.031525353954090334,0.011969566345214844
D3_PaySim,MLP_Focal_SMOTE,2,0.015100454351281732,0.008899870328605175
D3_PaySim,MLP_Focal_SMOTE,3,0.013737695223492821,0.008024604991078377
D3_PaySim,MLP_Focal_SMOTE,4,0.012854602150013291,0.009543054737150669
D3_PaySim,MLP_Focal_SMOTE,5,0.011769493065047555,0.009044548496603966
D3_PaySim,MLP_Focal_SMOTE,6,0.01166761234947821,0.009090805426239967
D3_PaySim,MLP_Focal_SMOTE,7,0.010870500528291473,0.007661876734346151
D3_PaySim,MLP_Focal_SMOTE,8,0.010218017064489243,0.007080546580255032
D3_PaySim,MLP_Focal_SMOTE,9,0.00997044323617971,0.0065600196830928326
D3_PaySim,MLP_Focal_SMOTE,10,0.009477890725058268,0.007059394381940365
D3_PaySim,MLP_Focal_SMOTE,11,0.009803983818255061,0.007230219431221485
D3_PaySim,MLP_Focal_SMOTE,12,0.00949612756191594,0.0075331139378249645
D3_PaySim,MLP_Focal_SMOTE,13,0.009541758517848282,0.007814867421984673
D3_PaySim,MLP_Focal_SMOTE,14,0.009193203226489022,0.006778134033083916
D3_PaySim,MLP_Focal_SMOTE,15,0.009108970180244707,0.006479257717728615
D3_PaySim,MLP_Focal_SMOTE,16,0.009048228375462255,0.00639718770980835
D3_PaySim,MLP_Focal_SMOTE,17,0.00849712794888916,0.004558137152343988
D3_PaySim,MLP_Focal_SMOTE,18,0.008588735801659949,0.007269671652466059
D3_PaySim,MLP_Focal_SMOTE,19,0.008076894274965777,0.005485536064952612
D3_PaySim,MLP_Focal_SMOTE,20,0.008385776939642866,0.006127511151134968
D3_PaySim,MLP_Focal_SMOTE,21,0.007665132876576447,0.006966033484786749
D3_PaySim,MLP_Focal_SMOTE,22,0.007782588712871075,0.00649236049503088
D3_PaySim,MLP_Focal_SMOTE,23,0.00817308857340396,0.006245994940400124
