dataset,model,model_display,threshold,recall,precision,f1,mcc,roc_auc,pr_auc,false_alerts_per_10k,missed_frauds_per_10k,expected_cost_per_10k,train_time_s
D1_Kaggle_CC,LightGBM,LightGBM balanced,0.02,0.7894736842105263,0.872093023255814,0.8287292817679558,0.8294857169147337,0.9667233077132471,0.8197137102461289,1.9384626229161528,3.524477496211187,354.3862122440349,6.722721395999997
D1_Kaggle_CC,XGB,XGBoost,0.05,0.8,0.8260869565217391,0.8128342245989305,0.8126303292913175,0.9642535227231555,0.8187552826807278,2.8195819969689495,3.3482536214006275,337.6449441370317,5.521025364000025
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.74,0.8,0.7450980392156863,0.7715736040609137,0.7716659119278847,0.9682508507770106,0.8014188118232862,4.581820745074543,3.3482536214006275,339.4071828851373,3.6898395109999456
D1_Kaggle_CC,RF,Random Forest,0.04,0.8210526315789474,0.6782608695652174,0.7428571428571429,0.7457872418252532,0.928856182220038,0.8103882445367392,6.520283367990696,2.995805871779509,306.1008705459416,29.33961176699995
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.06,0.8105263157894737,0.6637931034482759,0.7298578199052133,0.7330125491561663,0.9667669730361985,0.808371403807528,6.872731117611814,3.172029746590068,324.0757057766186,1.9249450879999586
D1_Kaggle_CC,BRF,Balanced RF,0.75,0.7789473684210526,0.6788990825688074,0.7254901960784313,0.7267177078802466,0.9668360014084388,0.682696483631589,6.167835618369577,3.7007013710217462,376.23797272054424,3.9637573449999763
D1_Kaggle_CC,MLP_Focal,MLP + Focal Loss,0.2,0.7894736842105263,0.6578947368421053,0.7177033492822966,0.7201799114870487,0.964942505776365,0.8162517594948565,6.872731117611814,3.524477496211187,359.32048073873045,44.96551547900003
D1_Kaggle_CC,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.53,0.7894736842105263,0.646551724137931,0.7109004739336493,0.7139251225075234,0.9480172691707026,0.7834272324238094,7.225178867232933,3.524477496211187,359.6729284883516,67.66740434000008
D1_Kaggle_CC,CatBoost,CatBoost balanced,0.12,0.8105263157894737,0.49044585987261147,0.6111111111111112,0.6297375046688866,0.9672069708436419,0.8063767432373146,14.097909984844748,3.172029746590068,331.3008846438516,6.4004924999999275
D1_Kaggle_CC,EasyEnsemble,EasyEnsemble,0.62,0.8105263157894737,0.4350282485875706,0.5661764705882353,0.592938943101741,0.9661363342868478,0.6497036010852197,17.622387481055934,3.172029746590068,334.82536214006274,2.349357285999986
