Method,Recall,MCC,Latency (ms)
No resampling (Model A),0.7578947368421053,0.8585273279079413,0.004174509916660822
SMOTE (Model B),0.8,0.7234688358318448,0.0042461917863618
ADASYN,0.8,0.6559871092853848,0.0056025971231254525
